,Abbrev,Court,Phases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Interim Selection,,,,,,,,,,,First Full Term,,,,,,,,,,,Additional Terms,,,,,,,,,,,Overview,,,,,,,,
,,,Process,,,,,,,,,,Category,Process,,,,,,,,,,Category,Process,,,,,,,,,,Category,Category,,,,,,,,Text Box
,,,Nominating Commission,,Gubernatorial Appointment,Confirmation,,,Legislative Appointment,Elections,,Supreme Court Appointment,,Nominating Commission,,Gubernatorial Appointment,Confirmation,,,Legislative Appointment,Elections,,Supreme Court Appointment,,Nominating Commission,,Gubernatorial Appointment,Confirmation,,,Legislative Appointment,Elections,,Supreme Court Appointment,,,,,,,,,,
State,,,Yes/No,Type,Yes/No,Yes/No,Legislative,Other,Yes/No,Yes/No,Type,Yes/No,,Yes/No,Type,Yes/No,Yes/No,Legislative,Other,Yes/No,Yes/No,Type,Yes/No,,Yes/No,Type,Yes/No,Yes/No,Legislative,Other,Yes/No,Yes/No,Type,Yes/No,,Missouri Plan/Merit Selection,Gubernatorial Appointment,Nonpartisan Elections,Partisan Elections,Legislative Appointment,Supreme Court Appointment,Hybrid,Varies,
Alabama,AL,State Supreme Court,No,No,Yes,No,,,No,No,No,No,Gubernatorial Appointment,No,No,No,No,No,,No,Yes,Partisan,No,Partisan Elections,No,No,No,No,No,,No,Yes,Partisan,No,Partisan Elections,No,No,No,Yes,No,No,No,No,"<p><strong>Filling an Interim Vacancy:</strong> When a seat on the Alabama Supreme Court becomes open in the middle of a justice’s term, the governor appoints a judicial candidate to the empty seat on the bench. The appointed justice holds office until Alabama’s next general election more than one year after she was appointed, unless the remainder of the seat’s term runs out before then. During the election, multiple candidates may vie for the seat in a partisan election. The elected justice serves a six-year term.</p>

<p><strong>Filling a Vacancy at the End of a Justice’s Term:</strong> When a seat becomes open at the end of a justice’s term (for example, due to retirement), the vacancy is filled through a partisan election, where multiple candidates may vie for the seat. The elected justice serves a six-year term.</p>

<p><strong>Additional Terms:</strong>  A sitting justice approaching the end of her term may seek additional six-year terms through participating in a partisan election, where multiple candidates may vie for the seat.</p>

<p><strong>Age/Term Limits:</strong> There is no limit on the number of terms a justice may serve; however, a justice may not be appointed or elected after turning 70.</p>
"
Alaska,AK,State Supreme Court,Yes,Binding Commission,Yes,No,No,,No,No,No,No,Gubernatorial Appointment,Yes,Binding Commission,Yes,No,No,,No,No,No,No,Gubernatorial Appointment,No,No,No,No,No,,No,Yes,Retention,No,Retention Elections,Yes,No,No,No,No,No,No,No,"<p><strong>Filling an Interim Vacancy:</strong> When a seat on the Alaska Supreme Court becomes open in the middle of a justice’s term, the governor appoints a judicial candidate from a list provided by a judicial nominating commission.</p>

<p><strong>Filling a Vacancy at the End of a Justice’s Term:</strong> When a seat becomes open at the end of a justice’s term (for example, due to retirement or the loss of a retention election), the governor appoints a judicial candidate from a list provided by a judicial nominating commission.</p>

<p><strong>Additional Terms:</strong> Once an appointed justice has at least three years of experience on the court, she stands in an unopposed yes/no retention vote at the time of Alaska’s next general election. If retained by the voting public she serves a 10-year term. She may stand for additional 10-year terms in the same retention process.</p>

<p><strong>Age/Term Limits:</strong> There is no limit on the number of terms a justice may serve but there is a mandatory retirement age of 70.</p>
"
Arizona,AZ,State Supreme Court,Yes,Binding Commission,Yes,No,No,,No,No,No,No,Gubernatorial Appointment,Yes,Binding Commission,Yes,No,No,,No,No,No,No,Gubernatorial Appointment,No,No,No,No,No,,No,Yes,Retention,No,Retention Elections,Yes,No,No,No,No,No,No,No,"<p><strong>Filling an Interim Vacancy:</strong> When a seat on the Arizona Supreme Court becomes open in the middle of a justice’s term, the governor appoints a judicial candidate from a list provided by a judicial nominating commission.</p>

<p><strong>Filling a Vacancy at the End of a Justice’s Term:</strong> When a seat becomes open at the end of a justice’s term (for example, due to retirement or the loss of a retention election), the governor appoints a judicial candidate from a list provided by a judicial nominating commission. </p>

<p><strong>Additional Terms:</strong> Once an appointed justice has at least two years of experience on the court, she stands in an unopposed yes/no retention vote at the time of Arizona’s next general election. If retained by the voting public she serves a six-year term. She may stand for additional six-year terms in the same retention process. </p>

<p><strong>Age/Term Limits:</strong> There is no limit on the number of terms a justice may serve but there is a mandatory retirement age of 70.</p>"
Arkansas,AR,State Supreme Court,No,No,Yes,No,No,,No,No,No,No,Gubernatorial Appointment,No,No,No,No,No,,No,Yes,Nonpartisan,No,Nonpartisan Elections,No,No,No,No,No,,No,Yes,Nonpartisan,No,Nonpartisan Elections,No,No,Yes,No,No,No,No,No,"<p><strong>Filling an Interim Vacancy:</strong> When a seat on the Arkansas Supreme Court becomes open in the middle of a justice’s term, the governor appoints a judicial candidate to the empty seat on the bench. The appointed justice holds office until Arkansas’ next general election more than four months after she was appointed, unless the remainder of the seat’s term runs out before then. During the election, multiple candidates may vie for the seat in a nonpartisan election. The elected justice serves an eight-year term. </p>

<p><strong>Filling a Vacancy at the End of a Justice’s Term:</strong> When a seat becomes open at the end of a justice’s term (for example, due to retirement), the vacancy is filled through a nonpartisan election, where multiple candidates may vie for the seat. The elected justice serves an eight-year term. </p>

<p><strong>Additional Terms:</strong>  A sitting justice approaching the end of her term may seek additional eight-year terms through participating in a nonpartisan election, where multiple candidates may vie for the seat. </p>

<p><strong>Age/Term Limits:</strong> There is no limit on the number of terms a justice may serve; however a justice loses retirement benefits if elected or appointed to judicial office after age 70.</p>
"
California,CA,State Supreme Court,No,No,Yes,Yes,,Commission on Judicial Appointments,No,No,No,No,Gubernatorial Appointment,No,No,Yes,Yes,,Commission on Judicial Appointments,No,No,No,No,Gubernatorial Appointment,No,No,No,No,No,,No,Yes,Retention,No,Retention Elections,No,No,No,No,No,No,Yes,No,"<p><strong>Filling an Interim Vacancy:</strong> When a seat on the California Supreme Court becomes open in the middle of a justice’s term, the governor appoints a judicial candidate. The governor’s nominee must be confirmed by a majority vote of the Commission on Judicial Appointments, which consists of the Chief Justice, Attorney General of California, and the senior presiding justice of the state’s courts of appeal.</p>

<p><strong>Filling a Vacancy at the End of a Justice’s Term:</strong> When a seat becomes open at the end of a justice’s term (for example, due to retirement or the loss of a retention election), the governor appoints a judicial candidate. The governor’s nominee must be confirmed by a majority vote of the Commission on Judicial Appointments, which consists of the Chief Justice, Attorney General of California, and the senior presiding justice of the state’s courts of appeal.</p>

<p><strong>Additional Terms:</strong> Once an appointed justice has at least one year of experience on the court, she stands in an unopposed yes/no retention vote at the time of California’s next general election. If retained by the voting public she serves a 12-year term. She may stand for additional 12-year terms in the same retention process.</p>

<p><strong>Age/Term Limits:</strong> There is no limit on the number of terms a justice may serve or an age at which they are prevented from holding office.</p>
"
Colorado,CO,State Supreme Court,Yes,Binding Commission,Yes,No,No,,No,No,No,No,Gubernatorial Appointment,Yes,Binding Commission,Yes,No,No,,No,No,No,No,Gubernatorial Appointment,No,No,No,No,No,,No,Yes,Retention,No,Retention Elections,Yes,No,No,No,No,No,No,No,"<p><strong> Filling an Interim Vacancy:</strong> When a seat on the Colorado Supreme Court becomes open in the middle of a justice’s term, the governor appoints a judicial candidate from a list provided by a judicial nominating commission.</p>

<p><strong> Filling a Vacancy at the End of a Justice’s Term:</strong> When a seat becomes open at the end of a justice’s term (for example, due to retirement or the loss of a retention election), the governor appoints a judicial candidate from a list provided by a judicial nominating commission.</p>

<p><strong>Additional Terms:</strong> Once an appointed justice has at least two years of experience on the court, she stands in an unopposed yes/no retention vote at the time of Colorado’s next general election. If retained by the voting public she serves a 10-year term. She may stand for additional 10-year terms in the same retention process.</p>

<p><strong>Age/Term Limits:</strong> There is no limit on the number of terms a justice may serve but there is a mandatory retirement age of 72.</p>
"
